id,name,en,pinyin,desig,rank,display_ra,display_dec,display_scale
157,鸟喙,Bird's Beak,Niao Hui,鸟喙,3,-7.3781999999999925,-62.9183,5.3
158,农丈人,Peasant,Nong Zhang Ren,农丈人,3,-78.9193,-35.642,0
159,女床,Woman's Bed,Nü Chuang,女床,3,-100.1588,37.0503,2.2
160,女史,Female Protocol,Nü Shi,女史,3,-91.2035,72.0051,0
161,霹雳,Thunderbolt,Pi Li,霹雳,3,-7.1014,5.0728,13.9
162,平,Judging,Ping,平,3,-154.3383,-24.927,11.9
163,平道,Flat Road,Ping Dao,平道,3,-158.5546,-7.121,7.9
164,屏,Screen,Ping,屏,3,77.2991,-19.2882,6.2
165,七公,Seven Excellencies,Qi Gong,七公,3,-120.7187,41.1216,20.8
167,骑官,Imperial Guards,Qi Guan,骑官,3,-132.8662,-44.2614,13.3
168,骑阵将军,Chariots and Cavalry General,Qi Zhen Jiang Jun,骑阵将军,3,-132.0164,-48.7378,0
169,泣,Weeping,Qi,泣,3,-25.3709,-7.8022,0.8
171,青丘,Green Hill,Qing Qiu,青丘,3,175.9928,-31.6109,6.3
172,阙丘,Palace Gate,Que Qiu,阙丘,3,104.9068,1.0552,5.9
173,人,Humans,Ren,人,3,-36.4801,20.4944,6.3
174,日,Solar Star,Ri,日,3,-124.5133,-19.6788,0
175,三公(太微垣),Three Excellencies (In Supreme Palace Enclosure),San Gong(Tai Wei Yuan),三公(太微垣),3,-168.7739,5.1897,3.2
176,三公(紫微垣),Three Excellencies (In Purple Forbidden Enclosure),San gong(Zi Wei Yuan),三公(紫微垣),3,-158.413,49.3491,4.1
177,三角形,Triangle,San Jiao Xing,三角形,3,-119.0532,-66.2292,22.4
178,三师,Three Top Instructors,San Shi,三师,3,136.3671,67.2514,1.5
179,三台,Three Steps,San Tai,三台,3,152.2108,39.7863,34.8
180,尚书,Royal Secretary,Shang Shu,尚书,3,-105.7779,66.8492,17.5
181,少微,Junior Officers,Shao Wei,少微,3,163.8122,22.2143,6.6
182,蛇腹,Snake's Abdomen,She Fu,蛇腹,3,35.06,-68.138,12.7
183,蛇首,Snake's Head,She Shou,蛇首,3,42.8712,-63.1884,26.4
184,蛇尾,Snake's Tail,She Wei,蛇尾,3,-18.691399999999987,-77.2677,0.5
185,神宫(附官),Changing Room (Vassal of Tail),Shen Gong,神宫(附官),3,-106.4923,-41.8064,0
186,十二国,Twelve States,Shi Er Guo,十二国,3,-40.5276,-18.6956,8.5
187,十字架,Cross,Shi Zi Jia,十字架,3,-172.1417,-60.1061,8.1
188,屎,Excrement,Shi,屎,3,86.4996,-32.3064,0
189,市楼,Municipal Office,Shi Lou,市楼,3,-94.5113,-9.9774,10.6
190,势,Eunuch,Shi,势,3,160.646,32.8355,5.4
191,水府,Official for Irrigation,Shui Fu,水府,3,92.8739,15.176,2
192,水委,Crooked Running Water,Shui Wei,水委,3,17.6335,-56.3544,13.6
193,水位,Water Level,Shui Wei,水位,3,117.7511,14.2081,10.6
194,司非,Deified Judge of Right and Wrong,Si Fei,司非,3,-41.8972,10.0693,1
195,司怪,Deity in Charge of Monsters,Si Guai,司怪,3,89.813,23.0462,5.8
196,司禄,Deified Judge of Rank,Si Lu,司禄,3,-34.1516,2.4649,1.9
197,司命,Deified Judge of Life,Si Ming,司命,3,-34.7883,0.6171,1.3
198,司危,Deified Judge of Disaster and Good Fortune,Si wei,司危,3,-39.5032,7.0828,0.5
199,四渎,Four Channels,Si Du,四渎,3,100.9253,7.7724,10
200,四辅,Four Advisors,Si Fu,四辅,3,169.27,84.0729,23.7
201,孙,Grandson,Sun,孙,3,93.01,-36.1967,2.3
202,太阳守,Guard of the Sun,Tai Yang Shou,太阳守,3,176.5126,47.7794,0
203,太乙,First Great One,Tai Yi,太乙,3,-154.6254,64.8224,0
204,太子,Crown Prince,Tai Zi,太子,3,176.9964,20.2189,0
205,太尊,Royals,Tai Zun,太尊,3,167.4159,44.4985,0
206,螣蛇,Flying Serpent,Teng She,螣蛇,3,-20.4946,50.96,40.5
207,天阿,Celestial Concave,Tian E,天阿,3,50.5496,27.6076,0
208,天棓,Celestial Flail,Tian Bang,天棓,3,-94.1201,51.4395,10.9
209,天弁,Market Officer,Tian Bian,天弁,3,-77.318,-6.3757,7.8
210,天仓,Square Celestial Granary,Tian Cang,天仓,3,17.3998,-14.5039,25.1
211,天谗,Celestial Slander,Tian Chan,天谗,3,57.3862,33.0914,0
212,天厨,Celestial Kitchen,Tian Chu,天厨,3,-65.5783,67.5445,12.6
213,天船,Celestial Boat,Tian Chuan,天船,3,53.7397,51.804,22.1
214,天床,Celestial Bed,Tian Chuang,天床,3,-131.9388,67.2829,30.1
215,天大将军,Great General of Heaven,Tian Da Jiang Jun,天大将军,3,28.427,42.268,16.8
216,天桴,Celestial Drumstick,Tian Fu,天桴,3,-59.5278,0.0921,4.7
217,天辐,Celestial Spokes,Tian Fu,天辐,3,-125.54,-28.9564,1.6
218,天纲,Materials for Making Tents,Tian Gang,天纲,3,-16.0129,-32.5396,0
219,天高,Celestial High Terrace,Tian Gao,天高,3,76.3314,20.4682,7
