id,name,desig,en,pinyin
90191,织女增三,μ Lyr,Weaving Girl Added III,Zhinǚ zēng III
90289,斗宿增三,21 Sgr,Dipper Added III,Dǒuxiù zēng III
90344,扶筐增二,42 Dra,Basket for Mulberry Leaves Added II,Fúkuāng zēng II
90422,鳖一,α Tel,River Turtle I,Biē I
90441,东海增二,d Ser,Donghai Added II,Dōnghǎi zēng II
90496,斗宿二,λ Sgr,Dipper II,Dǒuxiù II
90642,东海增四,c Ser,Donghai Added IV,Dōnghǎi zēng IV
90797,孔雀三,ν Pav,Peafowl III,Kǒngquè III
90844,东海增三,61 Ser,Donghai Added III,Dōnghǎi zēng III
90905,扶筐二,d Dra,Basket for Mulberry Leaves II,Fúkuāng II
90968,鳖十,κ2 CrA,River Turtle X,Biē X
90982,鳖十一,θ CrA,River Turtle XI,Biē XI
91117,天弁一,α Sct,Market Officer I,Tiānbiàn I
91262,织女,α Lyr,Weaving Girl,Zhinǚ
91689,斗宿增四,26 Sgr,Dipper Added IV,Dǒuxiù zēng IV
91726,天弁二,δ Sct,Market Officer II,Tiānbiàn II
91755,扶筐一,c Dra,Basket for Mulberry Leaves I,Fúkuāng I
91792,孔雀八,ζ Pav,Peafowl VIII,Kǒngquè VIII
91845,天弁三,ε Sct,Market Officer III,Tiānbiàn III
91918,农丈人,HD172910,Peasant,Nóngzhàngrén
91919,织女二,ε1 Lyr,Weaving Girl II,Zhinǚ II
91926,织女增二,ε2 Lyr,Weaving Girl Added II,Zhinǚ zēng II
91971,织女三,ζ1 Lyr,Weaving Girl III,Zhinǚ III
91973,织女增一,ζ2 Lyr,Weaving Girl Added I,Zhinǚ zēng I
91975,徐增一,4 Aql,Xu Added I,Xú zēng I
92024,孔雀增一,HD172555,Peafowl Added I,Kǒngquè zēng I
92041,斗宿一,φ Sgr,Dipper I,Dǒuxiù I
92043,宗一,110 Her,Patriarchal Clan I,Zōng I
92112,御女二,50 Dra,Maids-in-waiting II,Yùnǚ II
92117,天弁增一,5 Aql,Market Officer Added I,Tiānbiàn zēng I
92161,宗二,111 Her,Patriarchal Clan II,Zōng II
92175,天弁四,β Sct,Market Officer IV,Tiānbiàn IV
92308,鳖二,η1 CrA,River Turtle II,Biē II
92390,建增一,29 Sgr,Establishment Added I,Jiàn zēng I
92398,渐台增六,ν1 Lyr,Clepsydra Terrace Added VI,Jiàntái zēng VI
92405,渐台增五,ν Lyr,Clepsydra Terrace Added V,Jiàntái zēng V
92420,渐台二,β Lyr,Clepsydra Terrace II,Jiàntái II
92480,建增五,30 Sgr,Establishment Added V,Jiàn zēng V
92488,天弁增六,HD174464,Market Officer Added VI,Tiānbiàn zēng VI
92501,天弁增二,HD174532,Market Officer Added II,Tiānbiàn zēng II
92512,扶筐四,ο Dra,Basket for Mulberry Leaves IV,Fúkuāng IV
92524,天弁增三,8 Aql,Market Officer Added III,Tiānbiàn zēng III
92602,建增四,HD174596,Establishment Added IV,Jiàn zēng IV
92609,孔雀四,λ Pav,Peafowl IV,Kǒngquè IV
92614,齐,112 Her,Qi,Qí
92728,渐台增一,δ1 Lyr,Clepsydra Terrace Added I,Jiàntái zēng I
92747,建增三,33 Sgr,Establishment Added III,Jiàn zēng III
92761,建增六,ν1 Sgr,Establishment Added VI,Jiàn zēng VI
92782,少弼,υ Dra,The Second Protector,Shàobì
92791,渐台一,δ2 Lyr,Clepsydra Terrace I,Jiàntái I
92818,齐增一,113 Her,Qi Added I,Qí zēng I
92845,建增七,ν2 Sgr,Establishment Added VII,Jiàn zēng VII
92855,斗宿四,σ Sgr,Dipper IV,Dǒuxiù IV
92862,辇道一,13 Lyr,Imperial Passageway I,Niǎndào I
92872,徐增二,62 Ser,Xu Added II,Xú zēng II
92946,徐,θ1 Ser,Xu,Xú
92989,鳖九,V0686 CrA,River Turtle IX,Biē IX
92997,扶筐五,48 Dra,Basket for Mulberry Leaves V,Fúkuāng V
93015,孔雀五,κ Pav,Peafowl V,Kǒngquè V
93026,天弁五,η Sct,Market Officer V,Tiānbiàn V
93051,徐增四,64 Ser,Xu Added IV,Xú zēng IV
93057,建增二,ξ1 Sgr,Establishment Added II,Jiàn zēng II
93085,建一,ξ2 Sgr,Establishment I,Jiàn I
93163,孔雀增三,ω Pav,Peafowl Added III,Kǒngquè zēng III
93174,鳖八,ε CrA,River Turtle VIII,Biē VIII
93179,吴越增二,10 Aql,Wuyue Added II,Wúyuè zēng II
93194,渐台三,γ Lyr,Clepsydra Terrace III,Jiàntái III
93203,吴越增三,11 Aql,Wuyue Added III,Wúyuè zēng III
93244,吴越增一,ε Aql,Wuyue Added I,Wúyuè zēng I
93279,渐台增四,λ Lyr,Clepsydra Terrace Added IV,Jiàntái zēng IV
93340,扶筐六,49 Dra,Basket for Mulberry Leaves VI,Fúkuāng VI
93408,辇道增一,16 Lyr,Imperial Passageway Added I,Niǎndào zēng I
93429,天弁六,i Aql,Market Officer VI,Tiānbiàn VI
93506,斗宿六,ζ Sgr,Dipper VI,Dǒuxiù VI
93526,天弁九,g Aql,Market Officer IX,Tiānbiàn IX
93542,鳖三,ζ CrA,River Turtle III,Biē III
93683,建二,ο Sgr,Establishment II,Jiàn II
93713,扶筐七,51 Dra,Basket for Mulberry Leaves VII,Fúkuāng VII
93717,天弁八,h Aql,Market Officer VIII,Tiānbiàn VIII
93747,吴越,ζ Aql,Wuyue,Wúyuè
93805,天弁七,λ Aql,Market Officer VII,Tiānbiàn VII
93825,鳖七,γ CrA,River Turtle VII,Biē VII
93864,斗宿五,τ Sgr,Dipper V,Dǒuxiù V
93867,吴越增四,18 Aql,Wuyue Added IV,Wúyuè zēng IV
93903,渐台四,ι Lyr,Clepsydra Terrace IV,Jiàntái IV
93917,渐台增三,17 Lyr,Clepsydra Terrace Added III,Jiàntái zēng III
93975,齐增九,HD178476,Qi Added IX,Qí zēng IX
94005,鳖四,δ CrA,River Turtle IV,Biē IV
94068,徐增三,19 Aql,Xu Added III,Xú zēng III
94083,天柱增一,59 Dra,Celestial Pillar Added I,Tiānzhù zēng I
94114,鳖六,α CrA,River Turtle VI,Biē VI
94140,天厨增一,55 Dra,Celestial Kitchen Added I,Tiānchú zēng I
94141,建三,π Sgr,Establishment III,Jiàn III
94160,鳖五,β CrA,River Turtle V,Biē V
94302,扶筐增四,53 Dra,Basket for Mulberry Leaves Added IV,Fúkuāng zēng IV
94376,天厨一,δ Dra,Celestial Kitchen I,Tiānchú I
94382,齐增十,HD179648,Qi Added X,Qí zēng X
94385,天弁增四,20 Aql,Market Officer Added IV,Tiānbiàn zēng IV
94477,右旗增二,21 Aql,Right Flag Added II,Yòuqí zēng II
94481,辇道增二,η Lyr,Imperial Passageway Added II,Niǎndào zēng II
94484,渐台增七,HIP94484,Clepsydra Terrace Added VII,Jiàntái zēng VII
94490,扶筐增三,54 Dra,Basket for Mulberry Leaves Added III,Fúkuāng zēng III
94620,齐增二,1 Sge,Qi Added II,Qí zēng II
94643,狗增六,ψ Sgr,Dog Added VI,Gǒu zēng VI
94648,御女一,τ Dra,Maids-in-waiting I,Yùnǚ I
94703,齐增三,1 Vul,Qi Added III,Qí zēng III
94713,辇道三,θ Lyr,Imperial Passageway III,Niǎndào III
94727,右旗增一,22 Aql,Right Flag Added I,Yòuqí zēng I
94779,奚仲一,κ Cyg,Xi Zhong I,Xīzhòng I
94820,建四,d Sgr,Establishment IV,Jiàn IV
94823,建增九,HD180562,Establishment Added IX,Jiàn zēng IX
94827,齐增四,2 Vul,Qi Added IV,Qí zēng IV
94834,吴越增五,ω1 Aql,Wuyue Added V,Wúyuè zēng V
94859,建增十,HD180699,Establishment Added X,Jiàn zēng X
94982,吴越增六,A Aql,Wuyue Added VI,Wúyuè zēng VI
95066,天弁增五,f Aql,Market Officer Added V,Tiānbiàn zēng V
95073,右旗增三,d Aql,Right Flag Added III,Yòuqí zēng III
95081,天厨六,π Dra,Celestial Kitchen VI,Tiānchú VI
95168,建五,ρ1 Sgr,Establishment V,Jiàn V
95176,建六,υ Sgr,Establishment VI,Jiàn VI
95188,建增八,ρ2 Sgr,Establishment Added VIII,Jiàn zēng VIII
95241,天渊二,β1 Sgr,Celestial Spring II,Tiānyuān II
95260,齐增八,3 Vul,Qi Added VIII,Qí zēng VIII
95294,天渊一,β2 Sgr,Celestial Spring I,Tiānyuān I
95347,天渊三,α Sgr,Celestial Spring III,Tiānyuān III
95372,辇道增八,2 Cyg,Imperial Passageway Added VIII,Niǎndào zēng VIII
95398,左旗增三,2 Sge,Left Flag Added III,Zuǒqí zēng III
95435,左旗增二,3 Sge,Left Flag Added II,Zuǒqí zēng II
95447,吴越增七,b Aql,Wuyue Added VII,Wúyuè zēng VII
95477,狗二,χ1 Sgr,Dog II,Gǒu II
95486,狗增五,HIP95486,Dog Added V,Gǒu zēng V
95492,齐增七,HD182807,Qi Added VII,Qí zēng VII
95498,左旗增四,4 Vul,Left Flag Added IV,Zuǒqí zēng IV
95501,右旗三,δ Aql,Right Flag III,Yòuqí III
95503,狗增七,χ3 Sgr,Dog Added VII,Gǒu zēng VII
95556,辇道四,4 Cyg,Imperial Passageway IV,Niǎndào IV
95560,左旗增五,5 Vul,Left Flag Added V,Zuǒqí zēng V
95564,狗增三,50 Sgr,Dog Added III,Gǒu zēng III
95585,右旗四,ν Aql,Right Flag IV,Yòuqí IV
95656,奚仲增一,7 Cyg,Xi Zhong Added I,Xīzhòng zēng I
95744,齐增六,HIP95744,Qi Added VI,Qí zēng VI
95771,齐增五,α Vul,Qi Added V,Qí zēng V
95785,齐增十一,8 Vul,Qi Added XI,Qí zēng XI
95793,右旗增四,c Aql,Right Flag Added IV,Yòuqí zēng IV
95818,左旗增六,7 Vul,Left Flag Added VI,Zuǒqí zēng VI
95853,奚仲二,ι Cyg,Xi Zhong II,Xīzhòng II
95937,右旗增八,e Aql,Right Flag Added VIII,Yòuqí zēng VIII
95947,辇道增七,β1 Cyg,Imperial Passageway Added VII,Niǎndào zēng VII
96052,辇道增九,8 Cyg,Imperial Passageway Added IX,Niǎndào zēng IX
96081,齐增十二,HD184151,Qi Added XII,Qí zēng XII
96100,天厨二,σ Dra,Celestial Kitchen II,Tiānchú II
96229,右旗一,μ Aql,Right Flag I,Yòuqí I
96275,左旗增七,9 Vul,Left Flag Added VII,Zuǒqí zēng VII
96327,右旗增十,37 Aql,Right Flag Added X,Yòuqí zēng X
96387,辇道增三,11 Cyg,Imperial Passageway Added III,Niǎndào zēng III
96392,右旗六,HD184701,Right Flag VI,Yòuqí VI
96406,狗增一,h1 Sgr,Dog Added I,Gǒu zēng I
96441,奚仲三,θ Cyg,Xi Zhong III,Xīzhòng III
96465,狗一,h2 Sgr,Dog I,Gǒu I
96468,右旗增六,ι Aql,Right Flag Added VI,Yòuqí zēng VI
96483,右旗八,κ Aql,Right Flag VIII,Yòuqí VIII
96516,左旗增一,ε Sge,Left Flag Added I,Zuǒqí zēng I
96556,右旗七,42 Aql,Right Flag VII,Yòuqí VII
96665,右旗二,σ Aql,Right Flag II,Yòuqí II
96683,辇道增六,φ Cyg,Imperial Passageway Added VI,Niǎndào zēng VI
96693,天津增一,14 Cyg,Celestial Ford Added I,Tiānjīn zēng I
96729,狗增二,53 Sgr,Dog Added II,Gǒu zēng II
96757,左旗一,α Sge,Left Flag I,Zuǒqí I
96807,右旗增五,45 Aql,Right Flag Added V,Yòuqí zēng V
96808,天鸡增一,e1 Sgr,Celestial Cock Added I,Tiānjī zēng I
96837,左旗二,β Sge,Left Flag II,Zuǒqí II
96895,奚仲四,c Cyg,Xi Zhong IV,Xīzhòng IV
96931,河鼓增二,46 Aql,Drum at the River Added II,Hégǔ zēng II
96950,天鸡一,e2 Sgr,Celestial Cock I,Tiānjī I
96957,河鼓增三,χ Aql,Drum at the River Added III,Hégǔ zēng III
97077,左旗增八,10 Vul,Left Flag Added VIII,Zuǒqí zēng VIII
97118,辇道增四,15 Cyg,Imperial Passageway Added IV,Niǎndào zēng IV
97139,河鼓增一,ψ Aql,Drum at the River Added I,Hégǔ zēng I
97165,天津二,δ Cyg,Celestial Ford II,Tiānjīn II
97229,河鼓增九,υ Aql,Drum at the River Added IX,Hégǔ zēng IX
97278,河鼓三,γ Aql,Drum at the River III,Hégǔ III
97290,天鸡二,f Sgr,Celestial Cock II,Tiānjī II
97295,辇道五,17 Cyg,Imperial Passageway V,Niǎndào V
97365,左旗三,δ Sge,Left Flag III,Zuǒqí III
97433,天厨三,ε Dra,Celestial Kitchen III,Tiānchú III
97473,河鼓增四,π Aql,Drum at the River Added IV,Hégǔ zēng IV
97496,左旗四,ζ Sge,Left Flag IV,Zuǒqí IV
97572,左旗增九,V0379 Vul,Left Flag Added IX,Zuǒqí zēng IX
97630,天津增二,19 Cyg,Celestial Ford Added II,Tiānjīn zēng II
97635,奚仲增二,d Cyg,Xi Zhong Added II,Xīzhòng zēng II
97649,牛郎,α Aql,Cowboy,Niúláng
97650,右旗增十一,51 Aql,Right Flag Added XI,Yòuqí zēng XI
97675,河鼓增五,ο Aql,Drum at the River Added V,Hégǔ zēng V
97679,左旗增十八,12 Vul,Left Flag Added XVIII,Zuǒqí zēng XVIII
97783,天鸡增二,57 Sgr,Celestial Cock Added II,Tiānjī zēng II
97796,左旗增廿九,9 Sge,Left Flag Added XXIX,Zuǒqí zēng XXIX
97804,天桴四,η Aql,Celestial Drumstick IV,Tiānfú IV
97816,波斯一,HD187420,Persia I,Bōsī I
97870,奚仲增七,23 Cyg,Xi Zhong Added VII,Xīzhòng zēng VII
97886,左旗增十七,13 Vul,Left Flag Added XVII,Zuǒqí zēng XVII
97928,右旗九,56 Aql,Right Flag IX,Yòuqí IX
97938,河鼓增八,ξ Aql,Drum at the River Added VIII,Hégǔ zēng VIII
97966,右旗增十二,57 Aql,Right Flag Added XII,Yòuqí zēng XII
97980,天桴三,58 Aql,Celestial Drumstick III,Tiānfú III
98032,天渊增一,ι Sgr,Celestial Spring Added I,Tiānyuān zēng I
98036,河鼓一,β Aql,Drum at the River I,Hégǔ I
98066,狗国一,ω Sgr,Territory of Dog I,Gǒuguó I
98068,天津增三,22 Cyg,Celestial Ford Added III,Tiānjīn zēng III
98073,奚仲增五,HD189276,Xi Zhong Added V,Xīzhòng zēng V
98085,左旗增廿八,10 Sge,Left Flag Added XXVIII,Zuǒqí zēng XXVIII
98103,河鼓增六,φ Aql,Drum at the River Added VI,Hégǔ zēng VI
98110,辇道增五,η Cyg,Imperial Passageway Added V,Niǎndào zēng V
98162,狗国四,b1 Sgr,Territory of Dog IV,Gǒuguó IV
98234,左旗七,11 Sge,Left Flag VII,Zuǒqí VII
98258,天鸡增三,g Sgr,Celestial Cock Added III,Tiānjī zēng III
98337,左旗五,γ Sge,Left Flag V,Zuǒqí V
98353,狗国二,A Sgr,Territory of Dog II,Gǒuguó II
98375,左旗增十九,14 Vul,Left Flag Added XIX,Zuǒqí zēng XIX
98401,天柱三,69 Dra,Celestial Pillar III,Tiānzhù III
98412,天渊增二,θ1 Sgr,Celestial Spring Added II,Tiānyuān zēng II
98421,狗国增二,θ2 Sgr,Territory of Dog Added II,Gǒuguó zēng II
98425,天津增四,25 Cyg,Celestial Ford Added IV,Tiānjīn zēng IV
98438,左旗六,13 Sge,Left Flag VI,Zuǒqí VI
98495,孔雀九,ε Pav,Peafowl IX,Kǒngquè IX
98543,左旗增十,15 Vul,Left Flag Added X,Zuǒqí zēng X
98571,奚仲增三,e Cyg,Xi Zhong Added III,Xīzhòng zēng III
98583,天厨五,e Dra,Celestial Kitchen V,Tiānchú V
98609,左旗增卅,HD189944,Left Flag Added XXX,Zuǒqí zēng XXX
98633,牛宿增一,63 Sgr,Ox Added I,Niúxiù zēng I
98636,左旗增十六,16 Vul,Left Flag Added XVI,Zuǒqí zēng XVI
98658,天厨增二,65 Dra,Celestial Kitchen Added II,Tiānchú zēng II
98688,狗国三,c Sgr,Territory of Dog III,Gǒuguó III
98702,天厨四,ρ Dra,Celestial Kitchen IV,Tiānchú IV
98754,左旗八,14 Sge,Left Flag VIII,Zuǒqí VIII
98761,天渊增三,HD189831,Celestial Spring Added III,Tiānyuān zēng III
98819,左旗增廿七,15 Sge,Left Flag Added XXVII,Zuǒqí zēng XXVII
98823,河鼓增七,τ Aql,Drum at the River Added VII,Hégǔ zēng VII
98842,狗国增一,HD190056,Territory of Dog Added I,Gǒuguó zēng I
98844,天桴二,62 Aql,Celestial Drumstick II,Tiānfú II
98910,牛宿增三,V1401 Aql,Ox Added III,Niúxiù zēng III
98920,左旗增廿六,η Sge,Left Flag Added XXVI,Zuǒqí zēng XXVI
98953,牛宿增二,65 Sgr,Ox Added II,Niúxiù zēng II
98962,天钩增一,66 Dra,Celestial Hook Added I,Tiāngōu zēng I
99031,天津增五,b1 Cyg,Celestial Ford Added V,Tiānjīn zēng V
99080,左旗增廿,17 Vul,Left Flag Added XX,Zuǒqí zēng XX
99171,天桴增一,64 Aql,Celestial Drumstick Added I,Tiānfú zēng I
99240,孔雀六,δ Pav,Peafowl VI,Kǒngquè VI
99255,天柱增二,κ Cep,Celestial Pillar Added II,Tiānzhù zēng II
99303,天津增六,b2 Cyg,Celestial Ford Added VI,Tiānjīn zēng VI
99352,左旗增廿五,θ Sge,Left Flag Added XXV,Zuǒqí zēng XXV
99404,左旗增十三,18 Vul,Left Flag Added XIII,Zuǒqí zēng XIII
99461,狗国增三,HD191408,Territory of Dog Added III,Gǒuguó zēng III
99473,天桴一,θ Aql,Celestial Drumstick I,Tiānfú I
99500,天钩增二,68 Dra,Celestial Hook Added II,Tiāngōu zēng II
99518,左旗增十四,19 Vul,Left Flag Added XIV,Zuǒqí zēng XIV
99529,牛宿增四,ξ1 Cap,Ox Added IV,Niúxiù zēng IV
99531,左旗增十五,20 Vul,Left Flag Added XV,Zuǒqí zēng XV
99572,牛宿三,ξ Cap,Ox III,Niúxiù III
99631,天桴增二,66 Aql,Celestial Drumstick Added II,Tiānfú zēng II
99639,天津三,30 Cyg,Celestial Ford III,Tiānjīn III
99655,奚仲增四,33 Cyg,Xi Zhong Added IV,Xīzhòng zēng IV
99675,天津增卅八,ο1 Cyg,Celestial Ford Added XXXVIII,Tiānjīn zēng XXXVIII
99731,天钩二,HIP99731,Celestial Hook II,Tiāngōu II
99738,左旗增十一,21 Vul,Left Flag Added XI,Zuǒqí zēng XI
99742,左旗九,ρ Aql,Left Flag IX,Zuǒqí IX
99770,天津增七,b3 Cyg,Celestial Ford Added VII,Tiānjīn zēng VII
99825,牛宿增十,HD192310,Ox Added X,Niúxiù zēng X
99848,天津增卅七,ο2 Cyg,Celestial Ford Added XXXVII,Tiānjīn zēng XXXVII
99853,左旗增廿三,22 Vul,Left Flag Added XXIII,Zuǒqí zēng XXIII
99874,左旗增十二,23 Vul,Left Flag Added XII,Zuǒqí zēng XII
99913,左旗增廿四,18 Sge,Left Flag Added XXIV,Zuǒqí zēng XXIV
99918,牛宿增五,3 Cap,Ox Added V,Niúxiù zēng V
99951,左旗增廿一,24 Vul,Left Flag Added XXI,Zuǒqí zēng XXI
100027,牛宿增六,α1 Cap,Ox Added VI,Niúxiù zēng VI
100044,天津增九,P Cyg,Celestial Ford Added IX,Tiānjīn zēng IX
100062,牛宿增九,4 Cap,Ox Added IX,Niúxiù zēng IX
100064,牛宿二,α2 Cap,Ox II,Niúxiù II
100108,天津增八,36 Cyg,Celestial Ford Added VIII,Tiānjīn zēng VIII
100122,天津增十四,35 Cyg,Celestial Ford Added XIV,Tiānjīn zēng XIV
100195,牛宿增八,σ Cap,Ox Added VIII,Niúxiù zēng VIII
100221,天钩增四,71 Dra,Celestial Hook Added IV,Tiāngōu zēng IV
100310,牛宿增十一,ν Cap,Ox Added XI,Niúxiù zēng XI
100325,牛宿增十二,β2 Cap,Ox Added XII,Niúxiù zēng XII
100345,牛宿一,β Cap,Ox I,Niúxiù I
100435,左旗增廿二,25 Vul,Left Flag Added XXII,Zuǒqí zēng XXII
100453,天津一,γ Cyg,Celestial Ford I,Tiānjīn I
100587,天津增十五,39 Cyg,Celestial Ford Added XV,Tiānjīn zēng XV
100751,孔雀十一,α Pav,Peafowl XI,Kǒngquè XI
100859,天津增卅六,43 Cyg,Celestial Ford Added XXXVI,Tiānjīn zēng XXXVI
100881,牛宿增十三,π Cap,Ox Added XIII,Niúxiù zēng XIII
100907,天津增十,40 Cyg,Celestial Ford Added X,Tiānjīn zēng X
100965,天柱增四,75 Dra,Celestial Pillar Added IV,Tiānzhù zēng IV
100977,离珠增一,68 Aql,Pearls on Ladies' Wear Added I,Lízhū zēng I
101027,牛宿六,ρ Cap,Ox VI,Niúxiù VI
101040,牛宿增十四,HD194960,Ox Added XIV,Niúxiù zēng XIV
101067,天津增十二,42 Cyg,Celestial Ford Added XII,Tiānjīn zēng XII
101076,天津增十六,41 Cyg,Celestial Ford Added XVI,Tiānjīn zēng XVI
101082,天柱增三,74 Dra,Celestial Pillar Added III,Tiānzhù zēng III
101093,天钩三,θ Cep,Celestial Hook III,Tiāngōu III
101101,离珠四,69 Aql,Pearls on Ladies' Wear IV,Lízhū IV
101123,牛宿五,ο Cap,Ox V,Niúxiù V
101138,天津增卅五,ω1 Cyg,Celestial Ford Added XXXV,Tiānjīn zēng XXXV
101160,败瓜增一,1 Del,Rotten Gourd Added I,Bàiguā zēng I
101214,天津增十一,44 Cyg,Celestial Ford Added XI,Tiānjīn zēng XI
101243,天津增卅四,ω2 Cyg,Celestial Ford Added XXXIV,Tiānjīn zēng XXXIV
101260,上卫,73 Dra,The Great Imperial Guard,Shàngwèi
101421,败瓜一,ε Del,Rotten Gourd I,Bàiguā I
101474,天津增十三,47 Cyg,Celestial Ford Added XIII,Tiānjīn zēng XIII
101483,败瓜二,η Del,Rotten Gourd II,Bàiguā II
101589,瓠瓜五,ζ Del,Good Gourd V,Hùguā V
101641,天津增廿一,26 Vul,Celestial Ford Added XXI,Tiānjīn zēng XXI
101692,离珠一,70 Aql,Pearls on Ladies' Wear I,Lízhū I
101716,天津增廿,27 Vul,Celestial Ford Added XX,Tiānjīn zēng XX
101751,罗堰增一,τ1 Cap,Network of Dykes Added I,Luóyàn zēng I
101765,天津增十七,48 Cyg,Celestial Ford Added XVII,Tiānjīn zēng XVII
101769,瓠瓜四,β Del,Good Gourd IV,Hùguā IV
101772,波斯二,α Ind,Persia II,Bōsī II
101800,败瓜四,ι Del,Rotten Gourd IV,Bàiguā IV
101847,离珠二,l Aql,Pearls on Ladies' Wear II,Lízhū II
101867,瓠瓜增五,29 Vul,Good Gourd Added V,Hùguā zēng V
101868,天津增廿二,28 Vul,Celestial Ford Added XXII,Tiānjīn zēng XXII
101882,败瓜三,θ Del,Rotten Gourd III,Bàiguā III
101909,瓠瓜增六,HD196775,Good Gourd Added VI,Hùguā zēng VI
101916,败瓜五,κ Del,Rotten Gourd V,Bàiguā V
101923,罗堰一,τ Cap,Network of Dykes I,Luóyàn I
101936,离珠三,1 Aqr,Pearls on Ladies' Wear III,Lízhū III
101958,瓠瓜一,α Del,Good Gourd I,Hùguā I
101984,罗堰二,υ Cap,Network of Dykes II,Luóyàn II
102066,天津增十八,49 Cyg,Celestial Ford Added XVIII,Tiānjīn zēng XVIII
102080,瓠瓜增一,10 Del,Good Gourd Added I,Hùguā zēng I
102098,天津四,α Cyg,Celestial Ford IV,Tiānjīn IV
102177,车府增一,51 Cyg,Big Yard for Chariots Added I,Chēfǔ zēng I
102208,天柱一,76 Dra,Celestial Pillar I,Tiānzhù I
102253,天钩一,4 Cep,Celestial Hook I,Tiāngōu I
102281,瓠瓜三,δ Del,Good Gourd III,Hùguā III
102333,波斯九,η Ind,Persia IX,Bōsī IX
102388,天津增廿三,30 Vul,Celestial Ford Added XXIII,Tiānjīn zēng XXIII
102395,孔雀七,β Pav,Peafowl VII,Kǒngquè VII
102422,天钩四,η Cep,Celestial Hook IV,Tiāngōu IV
102431,螣蛇增一,υ1 Cep,Flying Serpent Added I,Téngshé zēng I
102453,天津增十九,52 Cyg,Celestial Ford Added XIX,Tiānjīn zēng XIX
102485,天田四[牛宿],ψ Cap,Celestial Farmland IV (In Ox Mansion),Tiāntián IV
102487,罗堰三,17 Cap,Network of Dykes III,Luóyàn III
102488,天津九,ε Cyg,Celestial Ford IX,Tiānjīn IX
102532,瓠瓜增七,γ2 Del,Good Gourd Added VII,Hùguā zēng VII
102571,天津增四十,T Cyg,Celestial Ford Added XL,Tiānjīn zēng XL
102589,天津增卅,λ Cyg,Celestial Ford Added XXX,Tiānjīn zēng XXX
102618,女宿一,ε Aqr,Girl I,Nǚxiù I
102624,女宿四,k Aqr,Girl IV,Nǚxiù IV
102633,败瓜增三,13 Del,Rotten Gourd Added III,Bàiguā zēng III
102724,天津增卅三,55 Cyg,Celestial Ford Added XXXIII,Tiānjīn zēng XXXIII
102805,瓠瓜增二,15 Del,Good Gourd Added II,Hùguā zēng II
102819,败瓜增二,14 Del,Rotten Gourd Added II,Bàiguā zēng II
102843,天津增卅一,56 Cyg,Celestial Ford Added XXXI,Tiānjīn zēng XXXI
102945,女宿三,4 Aqr,Girl III,Nǚxiù III
102950,波斯十一*,ι Ind,Persia XI*,Bōsī XI*
102978,天田二[牛宿],ω Cap,Celestial Farmland II (In Ox Mansion),Tiāntián II
103004,天津增廿四,31 Vul,Celestial Ford Added XXIV,Tiānjīn zēng XXIV
103005,女宿增一,5 Aqr,Girl Added I,Nǚxiù zēng I
103045,女宿二,μ Aqr,Girl II,Nǚxiù II
103089,天津增卅二,57 Cyg,Celestial Ford Added XXXII,Tiānjīn zēng XXXII
103200,天津增廿五,32 Vul,Celestial Ford Added XXV,Tiānjīn zēng XXV
103226,越,19 Cap,Yue State (In Twelve States),Yuè
103227,孔雀增四,β Ind,Peafowl Added IV,Kǒngquè zēng IV
103294,瓠瓜增八,17 Del,Good Gourd Added VIII,Hùguā zēng VIII
103298,瓠瓜增三,16 Del,Good Gourd Added III,Hùguā zēng III
103401,女宿增五,7 Aqr,Girl Added V,Nǚxiù zēng V
103413,天津五,ν Cyg,Celestial Ford V,Tiānjīn V
103511,人增一,33 Vul,Humans Added I,Rén zēng I
103527,司非增二,18 Del,Deified Judge of Right and Wrong  Added II,Sīfēi zēng II
103569,虚宿增四,ε Equ,Emptiness Added IV,Xūxiù zēng IV
103616,郑,20 Cap,Zheng State (In Twelve States),Zhèng
103632,车府五,f1 Cyg,Big Yard for Chariots V,Chēfǔ V
103640,天垒城九,HD199828,Celestial Ramparts IX,Tiānlěichéng IX
103681,女宿增三,HD199944,Girl Added III,Nǚxiù zēng III
103682,女宿增二,11 Aqr,Girl Added II,Nǚxiù zēng II
103703,周二,HD199947,Zhou State II (In Twelve States),Zhōu II
103728,天垒城八,HD200004,Celestial Ramparts VIII,Tiānlěichéng VIII
103732,车府增二,60 Cyg,Big Yard for Chariots Added II,Chēfǔ zēng II
103738,离瑜增一,γ Mic,Jade Ornament on Ladies' Wear Added I,Líyú zēng I
103813,虚宿增一,λ Equ,Emptiness Added I,Xūxiù zēng I
103981,女宿增四,12 Aqr,Girl Added IV,Nǚxiù zēng IV
104019,周一,η Cap,Zhou State I (In Twelve States),Zhōu I
104031,虚宿增三,3 Equ,Emptiness Added III,Xūxiù zēng III
104043,蛇尾四,α Oct,Snake's Tail IV,Shéwěi IV
104060,车府六,ξ Cyg,Big Yard for Chariots VI,Chēfǔ VI
104101,虚宿增二,4 Equ,Emptiness Added II,Xūxiù zēng II
104105,天柱二,77 Dra,Celestial Pillar II,Tiānzhù II
104139,秦一,θ Cap,Qin State I (In Twelve States),Qín I
104174,离瑜增二,2 PsA,Jade Ornament on Ladies' Wear Added II,Líyú zēng II
104194,车府增三,f2 Cyg,Big Yard for Chariots Added III,Chēfǔ zēng III
