id,name,desig,en,pinyin
58259,天理四,HD103736,Judge for Nobility IV,Tiānlǐ IV
58484,小斗二,ε Cha,Little Dipper II,Xiǎodǒu II
58510,内屏增六,b Vir,Inner Screen Added VI,Nèipíng zēng VI
58519,幸臣,GK Com,Officer of Honour,Xìngchēn
58587,轸宿增三,31 Crt,Chariot Added III,Zhěnxiù zēng III
58590,内屏三,π Vir,Inner Screen III,Nèipíng III
58684,常陈七,67 UMa,Royal Guards VII,Chángchén VII
58858,郎位十五,2 Com,Officers of the Imperial Guard XV,Lángwèi XV
58874,四辅四,HD104904,Four Advisors IV,Sìfǔ IV
58948,内屏四,ο Vir,Inner Screen IV,Nèipíng IV
59196,马尾三,δ Cen,Horse's Tail III,Mǎwěi III
59199,右辖,α Crv,Right linchpin,Yoùxiá
59285,谒者增一,10 Vir,Usher to the Court Added I,yèzhě zēng I
59309,内屏增五,11 Vir,Inner Screen Added V,Nèipíng zēng V
59316,轸宿二,ε Crv,Chariot II,Zhěnxiù II
59352,五诸侯增七[太微垣],3 Com,Five Lords Added VII,Wǔzhūhóu zēng VII
59394,轸宿增四,3 Crv,Chariot Added IV,Zhěnxiù zēng IV
59449,马尾二,ρ Cen,Horse's Tail II,Mǎwěi II
59468,郎位增三,4 Com,Officers of the Imperial Guard Added III,Lángwèi zēng III
59501,郎位十四,5 Com,Officers of the Imperial Guard XIV,Lángwèi XIV
59504,大理一,CO Cam,Chief Judge I,Dàlǐ I
59608,内屏增四,12 Vir,Inner Screen Added IV,Nèipíng zēng IV
59708,相增一,1 CVn,Prime Minister Added I,Xiàng zēng I
59747,十字架四,δ Cru,Cross IV,Shízìjià IV
59774,天权,δ UMa,The Celestial Balance,Tiānquán
59803,轸宿一,γ Crv,Chariot I,Zhěnxiù I
59819,五诸侯五[太微垣],6 Com,Five Lords V,Wǔzhūhóu V
59831,常陈六,2 CVn,Royal Guards VI,Chángchén VI
59847,郎位十,7 Com,Officers of the Imperial Guard X,Lángwèi X
60000,小斗一,β Cha,Little Dipper I,Xiǎodǒu I
60030,左执法增一,13 Vir,Left Law Administrator Added I,Zuǒzhífǎ zēng I
60044,大理增一,HD107193,Chief Judge Added I,Dàlǐ zēng I
60088,轸宿增二,HD107161,Chariot Added II,Zhěnxiù zēng II
